locus_tag	ftype	length_bp	gene	EC_number	COG	product
HGLHCLKK_00108	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
HGLHCLKK_00109	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
HGLHCLKK_00110	CDS	477				hypothetical protein
HGLHCLKK_00111	CDS	1452	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
HGLHCLKK_00112	CDS	294	groS		COG0234	10 kDa chaperonin
HGLHCLKK_00113	CDS	1647	groL			60 kDa chaperonin
HGLHCLKK_00114	CDS	354				hypothetical protein
HGLHCLKK_00115	CDS	870				hypothetical protein
HGLHCLKK_00116	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
HGLHCLKK_00117	CDS	567	efp		COG0231	Elongation factor P
HGLHCLKK_00118	CDS	126				hypothetical protein
HGLHCLKK_00119	CDS	147				hypothetical protein
HGLHCLKK_00120	misc_RNA	47				mini-ykkC
HGLHCLKK_00121	CDS	318	gdx		COG2076	Guanidinium exporter
HGLHCLKK_00122	CDS	534	blc		COG3040	Outer membrane lipoprotein Blc
HGLHCLKK_00123	CDS	1134	ampC	3.5.2.6	COG1680	Beta-lactamase
HGLHCLKK_00124	CDS	360	frdD		COG3080	Fumarate reductase subunit D
HGLHCLKK_00125	CDS	396	frdC		COG3029	Fumarate reductase subunit C
HGLHCLKK_00126	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
HGLHCLKK_00127	CDS	1809	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HGLHCLKK_00128	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
HGLHCLKK_00129	CDS	1458	yjeM			Inner membrane transporter YjeM
HGLHCLKK_00130	CDS	3324	mscM		COG3264	Miniconductance mechanosensitive channel MscM
HGLHCLKK_00131	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
HGLHCLKK_00132	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
HGLHCLKK_00133	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
HGLHCLKK_00134	tRNA	76				tRNA-Gly(gcc)
HGLHCLKK_00135	tRNA	76				tRNA-Gly(gcc)
HGLHCLKK_00136	tRNA	76				tRNA-Gly(gcc)
HGLHCLKK_00137	CDS	1140	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
HGLHCLKK_00138	CDS	1533	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
HGLHCLKK_00139	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
HGLHCLKK_00140	CDS	1338	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
HGLHCLKK_00141	CDS	1848	mutL		COG0323	DNA mismatch repair protein MutL
HGLHCLKK_00142	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
HGLHCLKK_00143	CDS	309	hfq		COG1923	RNA-binding protein Hfq
HGLHCLKK_00144	CDS	1281	hflX		COG2262	GTPase HflX
HGLHCLKK_00145	CDS	1260	hflK		COG0330	Modulator of FtsH protease HflK
HGLHCLKK_00146	CDS	1005	hflC		COG0330	Modulator of FtsH protease HflC
HGLHCLKK_00147	CDS	198				hypothetical protein
HGLHCLKK_00148	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
HGLHCLKK_00149	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
HGLHCLKK_00150	CDS	2442	rnr	3.1.13.1	COG0557	Ribonuclease R
HGLHCLKK_00151	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
HGLHCLKK_00152	CDS	402				hypothetical protein
HGLHCLKK_00153	CDS	699				hypothetical protein
HGLHCLKK_00154	CDS	660				hypothetical protein
HGLHCLKK_00155	CDS	399				hypothetical protein
HGLHCLKK_00156	CDS	639				hypothetical protein
HGLHCLKK_00157	CDS	1164	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
HGLHCLKK_00158	CDS	1626	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
HGLHCLKK_00159	CDS	276				hypothetical protein
HGLHCLKK_00160	CDS	330	bsmA			Lipoprotein BsmA
HGLHCLKK_00161	CDS	750				hypothetical protein
HGLHCLKK_00162	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
HGLHCLKK_00163	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
HGLHCLKK_00164	CDS	1398	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
HGLHCLKK_00165	CDS	306	ulaB_1	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
HGLHCLKK_00166	CDS	465	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
HGLHCLKK_00167	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
HGLHCLKK_00168	CDS	855	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
HGLHCLKK_00169	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
HGLHCLKK_00170	CDS	276				hypothetical protein
HGLHCLKK_00171	misc_RNA	85				RpsF_leader
HGLHCLKK_00172	CDS	396	rpsF		COG0360	30S ribosomal protein S6
HGLHCLKK_00173	CDS	315	priB		COG2965	Primosomal replication protein N
HGLHCLKK_00174	CDS	228	rpsR		COG0238	30S ribosomal protein S18
HGLHCLKK_00175	CDS	450	rplI		COG0359	50S ribosomal protein L9
HGLHCLKK_00176	CDS	558				hypothetical protein
HGLHCLKK_00177	CDS	432				hypothetical protein
HGLHCLKK_00178	CDS	1149				IS200/IS605 family transposase IS609
HGLHCLKK_00179	CDS	639				hypothetical protein
HGLHCLKK_00180	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
HGLHCLKK_00181	CDS	1413	cycA		COG1113	D-serine/D-alanine/glycine transporter
HGLHCLKK_00182	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
HGLHCLKK_00183	CDS	966	ytfF			Inner membrane protein YtfF
HGLHCLKK_00184	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
HGLHCLKK_00185	CDS	381				hypothetical protein
HGLHCLKK_00186	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
HGLHCLKK_00187	misc_RNA	123				ES239
HGLHCLKK_00188	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
HGLHCLKK_00189	CDS	939				hypothetical protein
HGLHCLKK_00190	CDS	555	ytfJ		COG3054	putative protein YtfJ
HGLHCLKK_00191	CDS	207				hypothetical protein
HGLHCLKK_00192	CDS	1344				hypothetical protein
HGLHCLKK_00193	misc_RNA	58				STnc450
HGLHCLKK_00194	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
HGLHCLKK_00195	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
HGLHCLKK_00196	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
HGLHCLKK_00197	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
HGLHCLKK_00198	CDS	252	chpS			Antitoxin ChpS
HGLHCLKK_00199	CDS	315	chpB	3.1.-.-	COG2337	Endoribonuclease toxin ChpB
HGLHCLKK_00200	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
HGLHCLKK_00201	CDS	957	ytfQ			ABC transporter periplasmic-binding protein YtfQ
HGLHCLKK_00202	misc_RNA	79				naRNA4
HGLHCLKK_00203	CDS	693	fruK_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
HGLHCLKK_00204	CDS	375	fruK_2	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
HGLHCLKK_00205	CDS	273	fruK_3	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
HGLHCLKK_00206	CDS	1023	ytfT			Inner membrane ABC transporter permease protein YtfT
HGLHCLKK_00207	CDS	996	yjfF			Inner membrane ABC transporter permease protein YjfF
HGLHCLKK_00208	CDS	999	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
HGLHCLKK_00209	CDS	1374	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
HGLHCLKK_00210	misc_RNA	78				naRNA4
HGLHCLKK_00211	CDS	552				hypothetical protein
HGLHCLKK_00212	CDS	1353	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
HGLHCLKK_00213	CDS	387	cybC		COG3783	Soluble cytochrome b562
HGLHCLKK_00214	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
HGLHCLKK_00215	misc_RNA	71				naRNA4
HGLHCLKK_00216	CDS	2139	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
HGLHCLKK_00217	CDS	1656	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
HGLHCLKK_00218	CDS	1422	treB		COG1263	PTS system trehalose-specific EIIBC component
HGLHCLKK_00219	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
HGLHCLKK_00220	misc_RNA	116				Mg_sensor
HGLHCLKK_00221	CDS	2697	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
HGLHCLKK_00222	CDS	387	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HGLHCLKK_00223	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
HGLHCLKK_00224	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
HGLHCLKK_00225	CDS	396	yjgH		COG0251	RutC family protein YjgH
HGLHCLKK_00226	CDS	714	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
HGLHCLKK_00227	CDS	594	bdcR			HTH-type transcriptional repressor BdcR
HGLHCLKK_00228	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
HGLHCLKK_00229	CDS	1737	yjgL			putative protein YjgL
HGLHCLKK_00230	CDS	1005	argI	2.1.3.3	COG0078	Ornithine carbamoyltransferase subunit I
HGLHCLKK_00231	CDS	417	rraB		COG3076	Regulator of ribonuclease activity B
HGLHCLKK_00232	CDS	504				hypothetical protein
HGLHCLKK_00233	CDS	1197	yjgN		COG4269	Inner membrane protein YjgN
HGLHCLKK_00234	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
HGLHCLKK_00235	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
HGLHCLKK_00236	misc_RNA	76				naRNA4
HGLHCLKK_00237	misc_RNA	76				naRNA4
HGLHCLKK_00238	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
HGLHCLKK_00239	misc_RNA	195				Ysr276
HGLHCLKK_00240	CDS	1101	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
HGLHCLKK_00241	CDS	1083	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
HGLHCLKK_00242	CDS	1503				hypothetical protein
HGLHCLKK_00243	CDS	1020	ahr	1.1.1.2	COG1064	Aldehyde reductase Ahr
HGLHCLKK_00244	tRNA	85				tRNA-Leu(caa)
HGLHCLKK_00245	CDS	1920				hypothetical protein
HGLHCLKK_00246	CDS	378				hypothetical protein
HGLHCLKK_00247	CDS	333				hypothetical protein
HGLHCLKK_00248	CDS	468				hypothetical protein
HGLHCLKK_00249	CDS	570				Tn3 family transposase ISYps3
HGLHCLKK_00250	CDS	450				hypothetical protein
HGLHCLKK_00251	CDS	849				hypothetical protein
HGLHCLKK_00252	CDS	774				hypothetical protein
HGLHCLKK_00253	CDS	459				hypothetical protein
HGLHCLKK_00254	CDS	828	intA_1		COG0582	Prophage integrase IntA
HGLHCLKK_00255	CDS	852				hypothetical protein
HGLHCLKK_00256	CDS	309	nanM_1	5.1.3.24		N-acetylneuraminate epimerase
HGLHCLKK_00257	CDS	1104				hypothetical protein
HGLHCLKK_00258	CDS	708				hypothetical protein
HGLHCLKK_00259	CDS	1653				hypothetical protein
HGLHCLKK_00260	CDS	3360				hypothetical protein
HGLHCLKK_00261	CDS	6315	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
HGLHCLKK_00262	CDS	2859	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
HGLHCLKK_00263	CDS	4935				hypothetical protein
HGLHCLKK_00264	CDS	6342	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
HGLHCLKK_00265	CDS	2115	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
HGLHCLKK_00266	CDS	246			COG3385	IS4 family transposase ISCro3
HGLHCLKK_00267	CDS	981	nanS	3.1.1.-		putative 9-O-acetyl-N-acetylneuraminic acid deacetylase
HGLHCLKK_00268	CDS	1107	nanM_2	5.1.3.24	COG3055	N-acetylneuraminate epimerase
HGLHCLKK_00269	CDS	717	nanC			putative N-acetylneuraminic acid outer membrane channel protein NanC
HGLHCLKK_00270	CDS	603				ISKra4 family transposase ISCep1
HGLHCLKK_00271	CDS	597				ISKra4 family transposase ISCep1
HGLHCLKK_00272	CDS	549	fimA_1			Type-1 fimbrial protein, A chain
HGLHCLKK_00273	CDS	498	lpfA_1			putative major fimbrial subunit LpfA
HGLHCLKK_00274	CDS	726	fimC			Chaperone protein FimC
HGLHCLKK_00275	CDS	2637	fimD_1		COG3188	Outer membrane usher protein FimD
HGLHCLKK_00276	CDS	531	fimF_1			Protein FimF
HGLHCLKK_00277	CDS	504	fimG_1			Protein FimG
HGLHCLKK_00278	CDS	903	fimH_1			Type 1 fimbrin D-mannose specific adhesin
HGLHCLKK_00279	CDS	1344	gntP		COG2610	High-affinity gluconate transporter
HGLHCLKK_00280	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
HGLHCLKK_00281	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
HGLHCLKK_00282	CDS	195				hypothetical protein
HGLHCLKK_00283	CDS	726	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
HGLHCLKK_00284	CDS	831				hypothetical protein
HGLHCLKK_00285	CDS	102	ytiC			Protein YtiC
HGLHCLKK_00286	CDS	393	iraD			Anti-adapter protein IraD
HGLHCLKK_00287	CDS	729	qseD			HTH domain-truncated transcriptional regulator QseD
HGLHCLKK_00288	CDS	1173	iadA	3.4.19.-		Isoaspartyl dipeptidase
HGLHCLKK_00289	CDS	462	yjiG		COG0700	Inner membrane protein YjiG
HGLHCLKK_00290	CDS	684				hypothetical protein
HGLHCLKK_00291	CDS	486				hypothetical protein
HGLHCLKK_00292	CDS	5103				hypothetical protein
HGLHCLKK_00293	CDS	1179				hypothetical protein
HGLHCLKK_00294	CDS	843	yjiK_1		COG3204	putative protein YjiK
HGLHCLKK_00295	CDS	2184				hypothetical protein
HGLHCLKK_00296	CDS	267				hypothetical protein
HGLHCLKK_00297	CDS	768	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
HGLHCLKK_00298	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
HGLHCLKK_00299	CDS	1272				hypothetical protein
HGLHCLKK_00300	CDS	1233	mdtM			Multidrug resistance protein MdtM
HGLHCLKK_00301	CDS	783				ISNCY family transposase ISSen7
HGLHCLKK_00302	CDS	201	rpnD	3.1.21.-		Recombination-promoting nuclease RpnD
HGLHCLKK_00303	CDS	1413	norG		COG1167	HTH-type transcriptional regulator NorG
HGLHCLKK_00304	CDS	165				hypothetical protein
HGLHCLKK_00305	CDS	882				hypothetical protein
HGLHCLKK_00306	CDS	1164				hypothetical protein
HGLHCLKK_00307	CDS	342	symE	3.1.-.-		Toxic protein SymE
HGLHCLKK_00308	misc_RNA	77				symR
HGLHCLKK_00309	CDS	1755				hypothetical protein
HGLHCLKK_00310	CDS	1470		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
HGLHCLKK_00311	CDS	2433				hypothetical protein
HGLHCLKK_00312	CDS	285				hypothetical protein
HGLHCLKK_00313	CDS	1359				hypothetical protein
HGLHCLKK_00314	CDS	957	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
HGLHCLKK_00315	CDS	204				hypothetical protein
HGLHCLKK_00316	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
HGLHCLKK_00317	CDS	543				hypothetical protein
HGLHCLKK_00318	CDS	1665	tsr		COG0840	Methyl-accepting chemotaxis protein I
HGLHCLKK_00319	CDS	1362	lgoT			putative L-galactonate transporter
HGLHCLKK_00320	CDS	915	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
HGLHCLKK_00321	CDS	1023	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
HGLHCLKK_00322	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
HGLHCLKK_00323	CDS	495				hypothetical protein
HGLHCLKK_00324	CDS	738	dnaC_1		COG1484	DNA replication protein DnaC
HGLHCLKK_00325	CDS	540	dnaT_1			Primosomal protein 1
HGLHCLKK_00326	CDS	474				hypothetical protein
HGLHCLKK_00327	CDS	771	yjjP		COG2966	Inner membrane protein YjjP
HGLHCLKK_00328	CDS	726	yjjQ			Putative transcription factor YjjQ
HGLHCLKK_00329	CDS	582	bglJ		COG2197	Transcriptional activator protein BglJ
HGLHCLKK_00330	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
HGLHCLKK_00331	CDS	237				hypothetical protein
HGLHCLKK_00332	tRNA	87				tRNA-Leu(cag)
HGLHCLKK_00333	CDS	1032	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
HGLHCLKK_00334	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
HGLHCLKK_00335	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
HGLHCLKK_00336	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
