locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILNFNBCO_00060	CDS	846	phnJ	4.7.1.1	COG3627	Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase
ILNFNBCO_00061	CDS	1065	phnI	2.7.8.37	COG3626	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
ILNFNBCO_00062	CDS	585	phnH	2.7.8.37	COG3625	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
ILNFNBCO_00063	CDS	453	phnG	2.7.8.37	COG3624	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG
ILNFNBCO_00064	CDS	726	phnF		COG2188	putative transcriptional regulator PhnF
ILNFNBCO_00065	CDS	780	phnE		COG3639	Phosphate-import permease protein PhnE
ILNFNBCO_00066	misc_RNA	81				naRNA4
ILNFNBCO_00067	CDS	1017				hypothetical protein
ILNFNBCO_00068	CDS	789	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
ILNFNBCO_00069	CDS	444				hypothetical protein
ILNFNBCO_00070	misc_RNA	77				naRNA4
ILNFNBCO_00071	misc_RNA	77				naRNA4
ILNFNBCO_00072	CDS	336				hypothetical protein
ILNFNBCO_00073	CDS	2229	crfC_1		COG0699	Clamp-binding protein CrfC
ILNFNBCO_00074	CDS	879				hypothetical protein
ILNFNBCO_00075	CDS	1503	proP			Proline/betaine transporter
ILNFNBCO_00076	misc_RNA	166				STnc630
ILNFNBCO_00077	CDS	90				hypothetical protein
ILNFNBCO_00078	CDS	1101	basS	2.7.13.3		Sensor protein BasS
ILNFNBCO_00079	CDS	669	basR			Transcriptional regulatory protein BasR
ILNFNBCO_00080	CDS	1644	eptA_1	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
ILNFNBCO_00081	CDS	1338	adiC		COG0531	Arginine/agmatine antiporter
ILNFNBCO_00082	CDS	762	gadX_1			HTH-type transcriptional regulator GadX
ILNFNBCO_00083	CDS	2271	adiA	4.1.1.19	COG1982	Biodegradative arginine decarboxylase
ILNFNBCO_00084	CDS	909	melR_1			Melibiose operon regulatory protein
ILNFNBCO_00085	CDS	1356	melA	3.2.1.22	COG1486	Alpha-galactosidase
ILNFNBCO_00086	CDS	1410	melB		COG2211	Melibiose carrier protein
ILNFNBCO_00087	CDS	630	yjdF		COG3647	Inner membrane protein YjdF
ILNFNBCO_00088	CDS	1647	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
ILNFNBCO_00089	CDS	1341	dcuB		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
ILNFNBCO_00090	CDS	720	dcuR		COG4565	Transcriptional regulatory protein DcuR
ILNFNBCO_00091	CDS	1632	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
ILNFNBCO_00092	CDS	231				hypothetical protein
ILNFNBCO_00093	CDS	273	yjdJ		COG2388	putative protein YjdJ
ILNFNBCO_00094	CDS	297	ghoS	3.1.-.-		Endoribonuclease antitoxin GhoS
ILNFNBCO_00095	CDS	174	ghoT			Toxin GhoT
ILNFNBCO_00096	CDS	1518	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
ILNFNBCO_00097	CDS	1458	dtpC		COG3104	Dipeptide and tripeptide permease C
ILNFNBCO_00098	CDS	2148	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
ILNFNBCO_00099	CDS	1335	cadB		COG0531	putative cadaverine/lysine antiporter
ILNFNBCO_00100	CDS	1539	cadC		COG3710	Transcriptional activator CadC
ILNFNBCO_00101	tRNA	76				tRNA-Phe(gaa)
ILNFNBCO_00102	CDS	576				hypothetical protein
ILNFNBCO_00103	CDS	1698	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
ILNFNBCO_00104	CDS	339	cutA		COG1324	Divalent-cation tolerance protein CutA
ILNFNBCO_00105	CDS	1302	dcuA		COG2704	Anaerobic C4-dicarboxylate transporter DcuA
ILNFNBCO_00106	CDS	1437	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
ILNFNBCO_00107	CDS	477				hypothetical protein
ILNFNBCO_00108	CDS	1452	yjeH		COG0531	L-methionine/branched-chain amino acid exporter YjeH
ILNFNBCO_00109	CDS	294	groS		COG0234	10 kDa chaperonin
ILNFNBCO_00110	CDS	1647	groL			60 kDa chaperonin
ILNFNBCO_00111	CDS	354				hypothetical protein
ILNFNBCO_00112	CDS	870				hypothetical protein
ILNFNBCO_00113	CDS	1029	epmB	5.4.3.-	COG1509	L-lysine 2,3-aminomutase
ILNFNBCO_00114	CDS	567	efp		COG0231	Elongation factor P
ILNFNBCO_00115	CDS	126				hypothetical protein
ILNFNBCO_00116	CDS	147				hypothetical protein
ILNFNBCO_00117	misc_RNA	47				mini-ykkC
ILNFNBCO_00118	CDS	318	gdx		COG2076	Guanidinium exporter
ILNFNBCO_00119	CDS	534	blc		COG3040	Outer membrane lipoprotein Blc
ILNFNBCO_00120	CDS	1134	ampC	3.5.2.6	COG1680	Beta-lactamase
ILNFNBCO_00121	CDS	360	frdD		COG3080	Fumarate reductase subunit D
ILNFNBCO_00122	CDS	396	frdC		COG3029	Fumarate reductase subunit C
ILNFNBCO_00123	CDS	735	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
ILNFNBCO_00124	CDS	1809	frdA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
ILNFNBCO_00125	CDS	978	epmA	6.3.1.-	COG2269	Elongation factor P--(R)-beta-lysine ligase
ILNFNBCO_00126	CDS	1458	yjeM			Inner membrane transporter YjeM
ILNFNBCO_00127	CDS	3324	mscM		COG3264	Miniconductance mechanosensitive channel MscM
ILNFNBCO_00128	CDS	969	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
ILNFNBCO_00129	CDS	1053	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
ILNFNBCO_00130	CDS	546	orn	3.1.-.-	COG1949	Oligoribonuclease
ILNFNBCO_00131	tRNA	76				tRNA-Gly(gcc)
ILNFNBCO_00132	tRNA	76				tRNA-Gly(gcc)
ILNFNBCO_00133	tRNA	76				tRNA-Gly(gcc)
ILNFNBCO_00134	CDS	1140	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
ILNFNBCO_00135	CDS	1533	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
ILNFNBCO_00136	CDS	462	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
ILNFNBCO_00137	CDS	1338	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
ILNFNBCO_00138	CDS	1848	mutL		COG0323	DNA mismatch repair protein MutL
ILNFNBCO_00139	CDS	951	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
ILNFNBCO_00140	CDS	309	hfq		COG1923	RNA-binding protein Hfq
ILNFNBCO_00141	CDS	1281	hflX		COG2262	GTPase HflX
ILNFNBCO_00142	CDS	1260	hflK		COG0330	Modulator of FtsH protease HflK
ILNFNBCO_00143	CDS	1005	hflC		COG0330	Modulator of FtsH protease HflC
ILNFNBCO_00144	CDS	198				hypothetical protein
ILNFNBCO_00145	CDS	1299	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
ILNFNBCO_00146	CDS	426	nsrR		COG1959	HTH-type transcriptional repressor NsrR
ILNFNBCO_00147	CDS	2442	rnr	3.1.13.1	COG0557	Ribonuclease R
ILNFNBCO_00148	CDS	732	rlmB	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
ILNFNBCO_00149	CDS	402				hypothetical protein
ILNFNBCO_00150	CDS	699				hypothetical protein
ILNFNBCO_00151	CDS	660				hypothetical protein
ILNFNBCO_00152	CDS	399				hypothetical protein
ILNFNBCO_00153	CDS	639				hypothetical protein
ILNFNBCO_00154	CDS	1164	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
ILNFNBCO_00155	CDS	1626	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
ILNFNBCO_00156	CDS	276				hypothetical protein
ILNFNBCO_00157	CDS	330	bsmA			Lipoprotein BsmA
ILNFNBCO_00158	CDS	750				hypothetical protein
ILNFNBCO_00159	CDS	756	ulaR		COG1349	HTH-type transcriptional regulator UlaR
ILNFNBCO_00160	CDS	1065	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
ILNFNBCO_00161	CDS	1398	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
ILNFNBCO_00162	CDS	306	ulaB_1	2.7.1.194	COG3414	Ascorbate-specific PTS system EIIB component
ILNFNBCO_00163	CDS	465	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
ILNFNBCO_00164	CDS	651	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
ILNFNBCO_00165	CDS	855	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
ILNFNBCO_00166	CDS	687	ulaF	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
ILNFNBCO_00167	CDS	276				hypothetical protein
ILNFNBCO_00168	misc_RNA	85				RpsF_leader
ILNFNBCO_00169	CDS	396	rpsF		COG0360	30S ribosomal protein S6
ILNFNBCO_00170	CDS	315	priB		COG2965	Primosomal replication protein N
ILNFNBCO_00171	CDS	228	rpsR		COG0238	30S ribosomal protein S18
ILNFNBCO_00172	CDS	450	rplI		COG0359	50S ribosomal protein L9
ILNFNBCO_00173	CDS	558				hypothetical protein
ILNFNBCO_00174	CDS	432				hypothetical protein
ILNFNBCO_00175	CDS	1149				IS200/IS605 family transposase IS609
ILNFNBCO_00176	CDS	639				hypothetical protein
ILNFNBCO_00177	CDS	621	fklB	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
ILNFNBCO_00178	CDS	1413	cycA		COG1113	D-serine/D-alanine/glycine transporter
ILNFNBCO_00179	CDS	663	ytfE		COG2846	Iron-sulfur cluster repair protein YtfE
ILNFNBCO_00180	CDS	966	ytfF			Inner membrane protein YtfF
ILNFNBCO_00181	CDS	861	qorB	1.6.5.2	COG0702	Quinone oxidoreductase 2
ILNFNBCO_00182	CDS	381				hypothetical protein
ILNFNBCO_00183	CDS	1944	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
ILNFNBCO_00184	misc_RNA	123				ES239
ILNFNBCO_00185	CDS	741	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
ILNFNBCO_00186	CDS	939				hypothetical protein
ILNFNBCO_00187	CDS	555	ytfJ		COG3054	putative protein YtfJ
ILNFNBCO_00188	CDS	207				hypothetical protein
ILNFNBCO_00189	CDS	1344				hypothetical protein
ILNFNBCO_00190	misc_RNA	58				STnc450
ILNFNBCO_00191	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
ILNFNBCO_00192	CDS	1734	tamA		COG0729	Translocation and assembly module subunit TamA
ILNFNBCO_00193	CDS	3780	tamB		COG2911	Translocation and assembly module subunit TamB
ILNFNBCO_00194	CDS	342	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
ILNFNBCO_00195	CDS	252	chpS			Antitoxin ChpS
ILNFNBCO_00196	CDS	315	chpB	3.1.-.-	COG2337	Endoribonuclease toxin ChpB
ILNFNBCO_00197	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
ILNFNBCO_00198	CDS	957	ytfQ			ABC transporter periplasmic-binding protein YtfQ
ILNFNBCO_00199	misc_RNA	79				naRNA4
ILNFNBCO_00200	CDS	693	fruK_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
ILNFNBCO_00201	CDS	375	fruK_2	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
ILNFNBCO_00202	CDS	273	fruK_3	7.5.2.-	COG1129	Fructose import ATP-binding protein FruK
ILNFNBCO_00203	CDS	1023	ytfT			Inner membrane ABC transporter permease protein YtfT
ILNFNBCO_00204	CDS	996	yjfF			Inner membrane ABC transporter permease protein YjfF
ILNFNBCO_00205	CDS	999	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
ILNFNBCO_00206	CDS	1374	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
ILNFNBCO_00207	misc_RNA	78				naRNA4
ILNFNBCO_00208	CDS	552				hypothetical protein
ILNFNBCO_00209	CDS	1353	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
ILNFNBCO_00210	CDS	387	cybC		COG3783	Soluble cytochrome b562
ILNFNBCO_00211	CDS	465	nrdG	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
ILNFNBCO_00212	misc_RNA	71				naRNA4
ILNFNBCO_00213	CDS	2139	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
ILNFNBCO_00214	CDS	1656	treC	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
ILNFNBCO_00215	CDS	1422	treB		COG1263	PTS system trehalose-specific EIIBC component
ILNFNBCO_00216	CDS	948	treR		COG1609	HTH-type transcriptional regulator TreR
ILNFNBCO_00217	misc_RNA	116				Mg_sensor
ILNFNBCO_00218	CDS	2697	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
ILNFNBCO_00219	CDS	387	ridA	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
ILNFNBCO_00220	CDS	462	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
ILNFNBCO_00221	CDS	936	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase catalytic subunit
ILNFNBCO_00222	CDS	396	yjgH		COG0251	RutC family protein YjgH
ILNFNBCO_00223	CDS	714	bdcA		COG1028	Cyclic-di-GMP-binding biofilm dispersal mediator protein
ILNFNBCO_00224	CDS	594	bdcR			HTH-type transcriptional repressor BdcR
ILNFNBCO_00225	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
ILNFNBCO_00226	CDS	1737	yjgL			putative protein YjgL
ILNFNBCO_00227	CDS	1005	argI	2.1.3.3	COG0078	Ornithine carbamoyltransferase subunit I
ILNFNBCO_00228	CDS	417	rraB		COG3076	Regulator of ribonuclease activity B
ILNFNBCO_00229	CDS	504				hypothetical protein
ILNFNBCO_00230	CDS	1197	yjgN		COG4269	Inner membrane protein YjgN
ILNFNBCO_00231	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
ILNFNBCO_00232	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
ILNFNBCO_00233	misc_RNA	76				naRNA4
ILNFNBCO_00234	misc_RNA	76				naRNA4
ILNFNBCO_00235	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
ILNFNBCO_00236	misc_RNA	195				Ysr276
ILNFNBCO_00237	CDS	1101	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
ILNFNBCO_00238	CDS	1083	lptG		COG0795	Lipopolysaccharide export system permease protein LptG
ILNFNBCO_00239	CDS	1503				hypothetical protein
ILNFNBCO_00240	CDS	1020	ahr	1.1.1.2	COG1064	Aldehyde reductase Ahr
ILNFNBCO_00241	tRNA	85				tRNA-Leu(caa)
ILNFNBCO_00242	CDS	1920				hypothetical protein
ILNFNBCO_00243	CDS	378				hypothetical protein
ILNFNBCO_00244	CDS	333				hypothetical protein
ILNFNBCO_00245	CDS	468				hypothetical protein
ILNFNBCO_00246	CDS	570				Tn3 family transposase ISYps3
ILNFNBCO_00247	CDS	1317				hypothetical protein
ILNFNBCO_00248	CDS	774				hypothetical protein
ILNFNBCO_00249	CDS	459				hypothetical protein
ILNFNBCO_00250	CDS	828	intA_1		COG0582	Prophage integrase IntA
ILNFNBCO_00251	CDS	852				hypothetical protein
ILNFNBCO_00252	CDS	309	nanM_1	5.1.3.24		N-acetylneuraminate epimerase
ILNFNBCO_00253	CDS	1104				hypothetical protein
ILNFNBCO_00254	CDS	708				hypothetical protein
ILNFNBCO_00255	CDS	1653				hypothetical protein
ILNFNBCO_00256	CDS	3360				hypothetical protein
ILNFNBCO_00257	CDS	6315	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
ILNFNBCO_00258	CDS	2859	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
ILNFNBCO_00259	CDS	4935				hypothetical protein
ILNFNBCO_00260	CDS	6342	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
ILNFNBCO_00261	CDS	2115	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
ILNFNBCO_00262	CDS	246			COG3385	IS4 family transposase ISCro3
ILNFNBCO_00263	CDS	981	nanS	3.1.1.-		putative 9-O-acetyl-N-acetylneuraminic acid deacetylase
ILNFNBCO_00264	CDS	1107	nanM_2	5.1.3.24	COG3055	N-acetylneuraminate epimerase
ILNFNBCO_00265	CDS	717	nanC			putative N-acetylneuraminic acid outer membrane channel protein NanC
ILNFNBCO_00266	CDS	603				ISKra4 family transposase ISCep1
ILNFNBCO_00267	CDS	597				ISKra4 family transposase ISCep1
ILNFNBCO_00268	CDS	549	fimA_1			Type-1 fimbrial protein, A chain
ILNFNBCO_00269	CDS	498	lpfA_1			putative major fimbrial subunit LpfA
ILNFNBCO_00270	CDS	726	fimC			Chaperone protein FimC
ILNFNBCO_00271	CDS	2637	fimD_1		COG3188	Outer membrane usher protein FimD
ILNFNBCO_00272	CDS	531	fimF_1			Protein FimF
ILNFNBCO_00273	CDS	504	fimG_1			Protein FimG
ILNFNBCO_00274	CDS	903	fimH_1			Type 1 fimbrin D-mannose specific adhesin
ILNFNBCO_00275	CDS	1344	gntP		COG2610	High-affinity gluconate transporter
ILNFNBCO_00276	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
ILNFNBCO_00277	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
ILNFNBCO_00278	CDS	195				hypothetical protein
ILNFNBCO_00279	CDS	726	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
ILNFNBCO_00280	CDS	831				hypothetical protein
ILNFNBCO_00281	CDS	102	ytiC			Protein YtiC
ILNFNBCO_00282	CDS	393	iraD			Anti-adapter protein IraD
ILNFNBCO_00283	CDS	729	qseD			HTH domain-truncated transcriptional regulator QseD
ILNFNBCO_00284	CDS	1173	iadA	3.4.19.-		Isoaspartyl dipeptidase
ILNFNBCO_00285	CDS	462	yjiG		COG0700	Inner membrane protein YjiG
ILNFNBCO_00286	CDS	684				hypothetical protein
ILNFNBCO_00287	CDS	486				hypothetical protein
ILNFNBCO_00288	CDS	5103				hypothetical protein
ILNFNBCO_00289	CDS	1179				hypothetical protein
ILNFNBCO_00290	CDS	843	yjiK_1		COG3204	putative protein YjiK
ILNFNBCO_00291	CDS	2184				hypothetical protein
ILNFNBCO_00292	CDS	267				hypothetical protein
ILNFNBCO_00293	CDS	768	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
ILNFNBCO_00294	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
ILNFNBCO_00295	CDS	1272				hypothetical protein
ILNFNBCO_00296	CDS	1233	mdtM			Multidrug resistance protein MdtM
ILNFNBCO_00297	CDS	783				ISNCY family transposase ISSen7
ILNFNBCO_00298	CDS	201	rpnD	3.1.21.-		Recombination-promoting nuclease RpnD
ILNFNBCO_00299	CDS	1413	norG		COG1167	HTH-type transcriptional regulator NorG
ILNFNBCO_00300	CDS	165				hypothetical protein
ILNFNBCO_00301	CDS	882				hypothetical protein
ILNFNBCO_00302	CDS	1164				hypothetical protein
ILNFNBCO_00303	CDS	342	symE	3.1.-.-		Toxic protein SymE
ILNFNBCO_00304	misc_RNA	77				symR
ILNFNBCO_00305	CDS	1755				hypothetical protein
ILNFNBCO_00306	CDS	1470		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
ILNFNBCO_00307	CDS	2433				hypothetical protein
ILNFNBCO_00308	CDS	285				hypothetical protein
ILNFNBCO_00309	CDS	1359				hypothetical protein
ILNFNBCO_00310	CDS	957	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
ILNFNBCO_00311	CDS	204				hypothetical protein
ILNFNBCO_00312	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
ILNFNBCO_00313	CDS	543				hypothetical protein
ILNFNBCO_00314	CDS	1665	tsr		COG0840	Methyl-accepting chemotaxis protein I
ILNFNBCO_00315	CDS	1362	lgoT			putative L-galactonate transporter
ILNFNBCO_00316	CDS	915	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
ILNFNBCO_00317	CDS	1023	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
ILNFNBCO_00318	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
ILNFNBCO_00319	CDS	495				hypothetical protein
ILNFNBCO_00320	CDS	738	dnaC_1		COG1484	DNA replication protein DnaC
ILNFNBCO_00321	CDS	540	dnaT_1			Primosomal protein 1
ILNFNBCO_00322	CDS	474				hypothetical protein
ILNFNBCO_00323	CDS	771	yjjP		COG2966	Inner membrane protein YjjP
ILNFNBCO_00324	CDS	726	yjjQ			Putative transcription factor YjjQ
ILNFNBCO_00325	CDS	678	bglJ		COG2197	Transcriptional activator protein BglJ
ILNFNBCO_00326	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
ILNFNBCO_00327	CDS	237				hypothetical protein
ILNFNBCO_00328	tRNA	87				tRNA-Leu(cag)
ILNFNBCO_00329	CDS	1032	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
ILNFNBCO_00330	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
ILNFNBCO_00331	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
ILNFNBCO_00332	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
ILNFNBCO_00333	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
ILNFNBCO_00334	CDS	606	osmY_1		COG2823	Osmotically-inducible protein Y
ILNFNBCO_00335	CDS	162				hypothetical protein
ILNFNBCO_00336	CDS	1074				hypothetical protein
