locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKJJBAGK_00159	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
AKJJBAGK_00160	CDS	378	apaG		COG2967	Protein ApaG
AKJJBAGK_00161	CDS	849	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
AKJJBAGK_00162	CDS	315	ccdB_1			Toxin CcdB
AKJJBAGK_00163	CDS	234				hypothetical protein
AKJJBAGK_00164	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
AKJJBAGK_00165	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
AKJJBAGK_00166	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
AKJJBAGK_00167	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
AKJJBAGK_00168	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
AKJJBAGK_00169	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
AKJJBAGK_00170	CDS	942	fixB_1		COG2025	Protein FixB
AKJJBAGK_00171	CDS	771	fixA_1		COG2086	Protein FixA
AKJJBAGK_00172	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
AKJJBAGK_00173	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
AKJJBAGK_00174	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
AKJJBAGK_00175	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
AKJJBAGK_00176	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
AKJJBAGK_00177	CDS	591	yrdA_1		COG0663	Protein YrdA
AKJJBAGK_00178	CDS	396				hypothetical protein
AKJJBAGK_00179	CDS	219				hypothetical protein
AKJJBAGK_00180	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
AKJJBAGK_00181	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
AKJJBAGK_00182	misc_RNA	53				ES003
AKJJBAGK_00183	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
AKJJBAGK_00184	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
AKJJBAGK_00185	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
AKJJBAGK_00186	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
AKJJBAGK_00187	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
AKJJBAGK_00188	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
AKJJBAGK_00189	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
AKJJBAGK_00190	CDS	264	rpsT		COG0268	30S ribosomal protein S20
AKJJBAGK_00191	CDS	1422				hypothetical protein
AKJJBAGK_00192	CDS	534	yehD_1			putative fimbrial-like protein YehD
AKJJBAGK_00193	CDS	684	yehC_1		COG3121	putative fimbrial chaperone YehC
AKJJBAGK_00194	CDS	1902	yehB_1		COG3188	Outer membrane usher protein YehB
AKJJBAGK_00195	CDS	375	yehB_2		COG3188	Outer membrane usher protein YehB
AKJJBAGK_00196	CDS	327				hypothetical protein
AKJJBAGK_00197	CDS	426				hypothetical protein
AKJJBAGK_00198	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
AKJJBAGK_00199	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
AKJJBAGK_00200	misc_RNA	153				sok
AKJJBAGK_00201	CDS	210				hypothetical protein
AKJJBAGK_00202	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
AKJJBAGK_00203	misc_RNA	78				tpke11
AKJJBAGK_00204	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
AKJJBAGK_00205	CDS	405				hypothetical protein
AKJJBAGK_00206	CDS	714				hypothetical protein
AKJJBAGK_00207	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
AKJJBAGK_00208	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
AKJJBAGK_00209	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
AKJJBAGK_00210	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
AKJJBAGK_00211	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
AKJJBAGK_00212	CDS	297				hypothetical protein
AKJJBAGK_00213	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
AKJJBAGK_00214	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
AKJJBAGK_00215	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
AKJJBAGK_00216	misc_RNA	114				Thr_leader
AKJJBAGK_00217	CDS	687	trmH_1	2.1.1.34		tRNA (guanosine(18)-2'-O)-methyltransferase
AKJJBAGK_00218	CDS	717	arcA		COG0745	Aerobic respiration control protein ArcA
AKJJBAGK_00219	CDS	1353	creD		COG4452	Inner membrane protein CreD
AKJJBAGK_00220	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
AKJJBAGK_00221	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
AKJJBAGK_00222	CDS	474				hypothetical protein
AKJJBAGK_00223	CDS	870	rob_1		COG2207	Right origin-binding protein
AKJJBAGK_00224	CDS	648	pspB_1	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
AKJJBAGK_00225	CDS	513	yjjX	3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
AKJJBAGK_00226	CDS	297	trpR		COG2973	Trp operon repressor
AKJJBAGK_00227	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
AKJJBAGK_00228	CDS	1668	ettA		COG0488	Energy-dependent translational throttle protein EttA
AKJJBAGK_00229	misc_RNA	79				naRNA4
AKJJBAGK_00230	CDS	168				hypothetical protein
AKJJBAGK_00231	CDS	1233	nadR		COG1056	Trifunctional NAD biosynthesis/regulator protein NadR
AKJJBAGK_00232	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
AKJJBAGK_00233	CDS	969	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
AKJJBAGK_00234	CDS	1689	lplA	6.3.1.20		Lipoate-protein ligase A
AKJJBAGK_00235	CDS	264				hypothetical protein
AKJJBAGK_00236	CDS	720	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
AKJJBAGK_00237	CDS	1224	deoB	5.4.2.7	COG1015	Phosphopentomutase
AKJJBAGK_00238	CDS	1323	deoA	2.4.2.4	COG0213	Thymidine phosphorylase
AKJJBAGK_00239	CDS	780	deoC	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
AKJJBAGK_00240	CDS	1269	yjjI_1			putative protein YjjI
AKJJBAGK_00241	CDS	246	yjjI_2			putative protein YjjI
AKJJBAGK_00242	CDS	864	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
AKJJBAGK_00243	misc_RNA	79				naRNA4
AKJJBAGK_00244	misc_RNA	79				naRNA4
AKJJBAGK_00245	CDS	783	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
AKJJBAGK_00246	CDS	1074				hypothetical protein
AKJJBAGK_00247	CDS	162				hypothetical protein
AKJJBAGK_00248	CDS	606	osmY_1		COG2823	Osmotically-inducible protein Y
AKJJBAGK_00249	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
AKJJBAGK_00250	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
AKJJBAGK_00251	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
AKJJBAGK_00252	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
AKJJBAGK_00253	CDS	1032	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
AKJJBAGK_00254	tRNA	87				tRNA-Leu(cag)
AKJJBAGK_00255	CDS	237				hypothetical protein
AKJJBAGK_00256	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
AKJJBAGK_00257	CDS	678	bglJ		COG2197	Transcriptional activator protein BglJ
AKJJBAGK_00258	CDS	726	yjjQ			Putative transcription factor YjjQ
AKJJBAGK_00259	CDS	771	yjjP		COG2966	Inner membrane protein YjjP
AKJJBAGK_00260	CDS	474				hypothetical protein
AKJJBAGK_00261	CDS	540	dnaT_1			Primosomal protein 1
AKJJBAGK_00262	CDS	738	dnaC_1		COG1484	DNA replication protein DnaC
AKJJBAGK_00263	CDS	495				hypothetical protein
AKJJBAGK_00264	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
AKJJBAGK_00265	CDS	1023	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
AKJJBAGK_00266	CDS	915	lgoR		COG1802	putative HTH-type transcriptional regulator LgoR
AKJJBAGK_00267	CDS	1362	lgoT			putative L-galactonate transporter
AKJJBAGK_00268	CDS	1665	tsr		COG0840	Methyl-accepting chemotaxis protein I
AKJJBAGK_00269	CDS	543				hypothetical protein
AKJJBAGK_00270	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
AKJJBAGK_00271	CDS	204				hypothetical protein
AKJJBAGK_00272	CDS	957	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
AKJJBAGK_00273	CDS	1359				hypothetical protein
AKJJBAGK_00274	CDS	285				hypothetical protein
AKJJBAGK_00275	CDS	2433				hypothetical protein
AKJJBAGK_00276	CDS	1470		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
AKJJBAGK_00277	CDS	1755				hypothetical protein
AKJJBAGK_00278	misc_RNA	77				symR
AKJJBAGK_00279	CDS	342	symE	3.1.-.-		Toxic protein SymE
AKJJBAGK_00280	CDS	1164				hypothetical protein
AKJJBAGK_00281	CDS	882				hypothetical protein
AKJJBAGK_00282	CDS	165				hypothetical protein
AKJJBAGK_00283	CDS	1413	norG		COG1167	HTH-type transcriptional regulator NorG
AKJJBAGK_00284	CDS	201	rpnD	3.1.21.-		Recombination-promoting nuclease RpnD
AKJJBAGK_00285	CDS	783				ISNCY family transposase ISSen7
AKJJBAGK_00286	CDS	1233	mdtM			Multidrug resistance protein MdtM
AKJJBAGK_00287	CDS	1272				hypothetical protein
AKJJBAGK_00288	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
AKJJBAGK_00289	CDS	768	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
AKJJBAGK_00290	CDS	267				hypothetical protein
AKJJBAGK_00291	CDS	2184				hypothetical protein
AKJJBAGK_00292	CDS	843	yjiK_1		COG3204	putative protein YjiK
AKJJBAGK_00293	CDS	1179				hypothetical protein
AKJJBAGK_00294	CDS	5103				hypothetical protein
AKJJBAGK_00295	CDS	486				hypothetical protein
AKJJBAGK_00296	CDS	684				hypothetical protein
AKJJBAGK_00297	CDS	462	yjiG		COG0700	Inner membrane protein YjiG
AKJJBAGK_00298	CDS	1173	iadA	3.4.19.-		Isoaspartyl dipeptidase
AKJJBAGK_00299	CDS	729	qseD			HTH domain-truncated transcriptional regulator QseD
AKJJBAGK_00300	CDS	393	iraD			Anti-adapter protein IraD
AKJJBAGK_00301	CDS	102	ytiC			Protein YtiC
AKJJBAGK_00302	CDS	831				hypothetical protein
AKJJBAGK_00303	CDS	726	pdhR_2		COG2186	Pyruvate dehydrogenase complex repressor
AKJJBAGK_00304	CDS	195				hypothetical protein
AKJJBAGK_00305	CDS	1461	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
AKJJBAGK_00306	CDS	1185	uxuA	4.2.1.8	COG1312	Mannonate dehydratase
AKJJBAGK_00307	CDS	1344	gntP		COG2610	High-affinity gluconate transporter
AKJJBAGK_00308	CDS	903	fimH_1			Type 1 fimbrin D-mannose specific adhesin
AKJJBAGK_00309	CDS	504	fimG_1			Protein FimG
AKJJBAGK_00310	CDS	531	fimF_1			Protein FimF
AKJJBAGK_00311	CDS	2637	fimD_1		COG3188	Outer membrane usher protein FimD
AKJJBAGK_00312	CDS	726	fimC			Chaperone protein FimC
AKJJBAGK_00313	CDS	498	lpfA_1			putative major fimbrial subunit LpfA
AKJJBAGK_00314	CDS	549	fimA_1			Type-1 fimbrial protein, A chain
AKJJBAGK_00315	CDS	597				ISKra4 family transposase ISCep1
AKJJBAGK_00316	CDS	603				ISKra4 family transposase ISCep1
AKJJBAGK_00317	CDS	717	nanC			putative N-acetylneuraminic acid outer membrane channel protein NanC
AKJJBAGK_00318	CDS	1107	nanM_1	5.1.3.24	COG3055	N-acetylneuraminate epimerase
AKJJBAGK_00319	CDS	981	nanS	3.1.1.-		putative 9-O-acetyl-N-acetylneuraminic acid deacetylase
AKJJBAGK_00320	CDS	246			COG3385	IS4 family transposase ISCro3
